id,brewery_id,name,cat_id,style_id,abv,descript,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,397,Dark Ale,1,10,4.5,"A dark brew full of promise. Coopers Dark Ale is a journey in taste, starting fresh and creamy, and finishing with a lingering coffee flavour. 

Conditioned and naturally brewed using the top fermentation method, Coopers 'Dark' is made using roasted and chocolate malts, giving it a rich dark colour and unique flavour. 

Coopers Dark Ale has no additives and no preservatives.",4,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,441,Cinder Cone Red,3,33,5.4,"Cinder Cone Red's diverse selection of hops and barley captivates thirsty palates with its toffee-like flavor, intense citrus aroma and defined bitterness.

Located on the northern slope of Mt. Bachelor, the Cinder Cone was also known as \Red Hill\"" due to its reddish color that is revealed as the seasons change",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,562,LTD 02 Lager,7,90,6.4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,189,Saison Vielle Provision,-1,-1,6.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,130,Organic Barley Wine Ale 2005,-1,-1,9.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,562,Old Boardhead 2006,-1,-1,9,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,622,Blue Dot Double India Pale Ale,3,32,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,562,Nugget,3,33,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1175,American Pale Ale,3,26,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,236,471 Extra ESB,-1,-1,7.8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,935,Odell Red Ale,3,33,6.5,"The Rocky Mountain Goat is no ordinary goat. Just like Odell Red is no ordinary red. 

We took the American-style red to a whole new level by adding a variety of aggressive American hopsâ€”giving this ale a distinctive fresh hop aroma and flavor. 

We think you'll agree this red has some serious kick.",5,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,335,Long Leg English Fuggles Hop Ale,-1,-1,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,671,Summer Lightning,-1,-1,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,255,Haymaker Extra Pale Ale,-1,-1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,447,Pale Ale,3,26,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,447,Silk Lady,3,26,4.4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,447,Danger Ale,3,38,5.2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,447,Irish Style Ale,-1,-1,5.2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1392,Yeti Special Export,8,95,7,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1151,Steelie Brown Ale,3,38,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,441,Bond Street 19th Anniversary,-1,-1,8.7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1151,Trumpeter,3,42,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1264,Nitro Porter,2,25,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,62,Fourteen,-1,-1,9.46,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,919,Old Stock Ale 2007,1,13,11.7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,160,Cold Hop,1,2,6.5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,742,Hitachino Nest Espresso Stout,-1,-1,7.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,433,Witte,-1,-1,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,432,Slaapmutske Triple Nightcap,-1,-1,8.1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,723,Biere de Mars,1,13,7,A sustaining beer that is brewed to comfort in the gusty ides of March and welcome in a wealth of warmer weather.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,300,Kerst Pater Special Christmas Beer,-1,-1,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,432,Zoetzuur Flemish Ale,-1,-1,7,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,869,WPA (Wheat Pale Ale),-1,-1,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,869,Smoked Hefe,8,95,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1084,The Unforgiven Amber Ale,3,33,5.8,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,192,Strange Ghost,-1,-1,8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,595,Duke IPA,3,31,5.1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,595,Broad Axe Stout,3,42,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,595,Northern Light Lager,8,95,4.4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,31,Podge Belgian Imperial Stout,3,42,10.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,307,Okocim Porter,2,25,8.3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,458,1809,-1,-1,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,433,Pannepot,-1,-1,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,604,Samurai,-1,-1,5.1,"Looking for something a little different? Brewed with rice and barley malts, Samurai is an easy drinking, unfiltered ale that changes the status quo for unfiltered beers. The addition of rice gives Samurai a slightly fruity, crisp, refreshing and clean taste. This is definitely not your everyday unfiltered beer.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,122,Crystal Ale,-1,-1,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,177,Gavroche French Red Ale,-1,-1,8.5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,1138,Coney Island Lager,-1,-1,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,191,La BiÃ¨re des Collines van de Saisis,-1,-1,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,211,Dark Beer / StiftsbrÃ¤u,-1,-1,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,723,LuciÃ©rnaga,5,64,6.5,"An artisan pale ale brewed in the Grand Cru tradition. Enjoy its golden effervescence and gentle hop aroma. Coriander and Grains of Paradise round out the spicy palate, melting o so softly into a silken finish of hoppiness and bliss! Make any season a celebration!",4,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,202,CuvÃ©e des Champions 2003-2004,5,70,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,859,Beer Geek Breakfast,3,43,7.5,"Breakfast is the most important meal of the day, many say, and if you are a beer geek there is no better way to start the day than with a powerful, complex morning stout. The unique mix of oats and coffee gives this beer large body and power, while the coffee, at the same time, creates a nice balance.",3,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,432,Flemish Primitive Wild Ale (Spoon Whacker),-1,-1,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,39,Bock,7,90,5.5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,810,Double India Pale Ale,3,26,8.6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,984,Old Bawdy 2006,-1,-1,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,397,Extra Strong Vintage Ale,-1,-1,7.5,"If fine wine were beer it would no doubt be Coopers Extra Strong Vintage Ale. This strong ale imparts rich full flavours that are suitable for maturation. Brewed with choice malts and an extended top fermentation, Coopers Extra Strong Vintage Ale will improve with age, becoming more interesting and complex in flavour for up to 18 months. The results are well worth the wait!",2,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,481,Certified Organic India Pale Ale,3,26,7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,481,Certified Organic Porter,2,25,5.5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,481,Certified Organic Extra Pale Ale,-1,-1,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,481,Certified Organic Amber Ale,3,33,4.8,"Eel River Brewing Company, brewers of California's first Certified Organic Ale, proudly brings you our Organic Amber Ale. Unique in flavor and purity, this medium bodied beer has a hoppy bouquet and a distinctive rich taste with a caramel-like sweetness that is balanced with a liberal dose of certified organic Pacific Gems and Hallertau hops, imported from New Zealand. Pure taste, pure ingredients, pure good.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,706,Farm House Ale,-1,-1,6.7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,255,Beer Town Brown,3,38,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,890,Tanners Jack,-1,-1,4.4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,62,Mephistopheles Stout,3,42,16.03,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,923,NÃ¸gne Ã˜ Brown Ale,3,38,4.5,"A dark brown English ale, in which classic English malts meet the spicy hoppiness of the new world.  Recommended serving temperature 8Â°C/45Â°F. Goes very well with â€˜pub grub.â€™",5,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,1204,Vertical Epic 07.07.07,-1,-1,8.4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1136,Ringwood Brewery Old Thumper Extra Special Ale,-1,-1,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,1136,Export Ale,3,26,5.1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,950,Bourbon Barrel Porter,-1,-1,9.1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,1204,Old Guardian Barley Wine 2007,-1,-1,11.26,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
